"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Rreb1",92.4490386885412,40.4985198606269,75.1586513244534,50.399634901508,54.8472615920135,51.6943684166626,43.6885066697282,42.434946432303,49.1451554683342,32.8025397754052,55.9859131488314,45.0559746445442,39.0009447862318,47.1660535077059,40.0800027069906,51.2968423028465,52.4758497622205,50.5695634989344,79.6123187220258,73.6055813420364,67.3578246154852,61.9671021551354,53.6207559286234
"Ssr1",80.6470337495785,76.6579125933294,85.5253618519642,107.099224165705,58.6298313569799,66.8244274654419,110.901593853926,70.7249107205051,103.374292536841,120.275979176486,81.6461233420457,74.5156503736693,91.5674355850659,84.2967764818574,75.8848051252356,83.5064874697501,99.4854651742098,52.3133415506218,102.14410703958,76.9512895848562,76.9803709891259,84.6883729453517,64.6603233256929
"Riok1",23.6040098779254,24.5883870582377,18.1417434231439,14.1748973160491,13.2389941773826,16.3908973028442,20.1639261552592,23.5749702401684,23.7252474674717,37.1762117454593,23.3274638120131,19.6397838194167,27.1310920252047,19.0671280137535,22.979201552008,29.8237455249107,18.5851967907864,17.4377805168739,21.0296690963842,28.4385200639686,25.0186205714659,14.4589905028649,20.5020537374148
"Snrnp48",13.7690057621232,26.0347627675458,12.9583881593885,7.87494295336063,9.45642441241612,12.6083825406494,10.0819630776296,23.5749702401684,10.167963200345,13.1210159101621,4.66549276240261,17.3292210171324,11.8698527610271,13.0459296936208,14.4288009745166,15.5083476729536,12.0257155705089,19.1815585685613,4.50635766351089,11.7099788498694,7.69803709891259,20.6557007183785,17.3478916239664
"Txndc5",41.3070172863695,56.408652663016,36.2834868462879,42.5246919481474,47.2821220620806,47.9118536544677,57.1311241065677,91.9423839366566,69.4810818690243,59.0445715957294,55.9859131488314,57.764070057108,55.9578773019847,49.1731196144168,52.3712035371344,53.6827419448393,54.6623435023131,73.2386781708705,52.5741727409604,68.5870189778066,51.96175041766,45.4425415804326,80.4311338929351
"Eef1e1",55.0760230484926,41.944895569935,46.6501973737987,64.5745322175572,51.064691827047,46.6510154004028,53.7704697473578,33.0049583362357,55.9237976018976,41.5498837155133,25.6602101932144,53.7205851531104,35.6095582830812,52.1837187744832,46.4928031401091,50.10389248185,44.8231216718967,33.1317829820605,34.5487420869169,45.1670612780678,65.433315340757,39.2458313649191,58.3519990987961
"Slc35b3",9.83500411580225,14.463757093081,15.5500657912662,4.72496577201638,9.45642441241612,12.6083825406494,0,7.07249107205051,25.4199080008625,4.37367197005403,20.9947174308118,9.24225120913727,6.78277300630117,19.0671280137535,10.153600685771,13.1224480309607,17.4919499207402,12.2064463618117,21.0296690963842,8.36427060704959,7.69803709891259,20.6557007183785,4.73124317017265
"Gm47352",9.83500411580225,7.23187854654051,10.3667105275108,6.2999543626885,9.45642441241612,22.6950885731689,0,9.42998809606734,11.8626237337358,10.9341799251351,9.33098552480523,11.5528140114216,3.39138650315059,14.0494627469762,5.87840039702529,17.8942473149464,12.0257155705089,19.1815585685613,4.50635766351089,10.0371247284595,1.92450927472815,8.26228028735139,14.193729510518
"Gm26688",3.9340016463209,5.78550283723241,2.5916776318777,4.72496577201638,9.45642441241612,7.56502952438964,3.36065435920987,11.7874851200842,5.08398160017251,4.37367197005403,11.6637319060065,7.50932910742404,11.8698527610271,5.01766526677723,5.34400036093208,8.35064874697501,8.74597496037009,6.97511220674957,6.00847688468119,5.01856236422975,3.84901854945629,10.3278503591892,11.0395673970695
"Gcnt2",64.9110271642949,37.6057684420107,59.6085855331872,42.5246919481474,47.2821220620806,41.607662384143,43.6885066697282,35.3624553602525,42.3665133347709,34.9893757604322,41.9894348616235,48.5218188479707,42.3923312893823,54.190784881194,44.8896030318295,44.1391433768679,38.2636404516191,59.2884537573713,33.0466228657465,46.8399153994777,30.7921483956504,37.1802612930813,50.466593815175
"Pak1ip1",19.6700082316045,28.927514186162,33.6918092144102,25.199817450754,22.6954185897987,32.7817946056885,33.6065435920987,25.9324672641852,30.503889601035,21.8683598502701,25.6602101932144,34.6584420342648,30.5224785283553,37.1307229741515,41.148802779177,44.1391433768679,25.144678011064,22.6691146719361,48.0678150774495,36.8027906710182,50.0372411429318,22.7212707902163,34.6957832479328
"Tmem14c",153.426064206515,193.814345047286,152.908980280785,207.898493968721,198.584912660739,253.428489067053,164.672063601283,252.252181569801,205.053924540291,214.309926532647,223.943652595325,251.27370474842,166.177938654379,216.763139524776,221.776014978681,181.328372791457,220.835867749345,204.022032047425,196.777617973309,235.872431118798,202.073473846455,167.311175818866,189.249726806906
"Smim13",9.83500411580225,7.23187854654051,10.3667105275108,4.72496577201638,3.78256976496645,10.0867060325195,6.72130871841973,7.07249107205051,10.167963200345,6.56050795508104,9.33098552480523,8.08696980799511,6.78277300630117,4.01413221342178,9.08480061358454,10.7365483889679,4.37298748018504,10.4626683101244,9.01271532702179,6.69141648563967,19.2450927472815,4.13114014367569,11.0395673970695
"Nedd9",45.2410189326904,34.7130170233945,28.5084539506548,28.3497946320983,26.4779883547651,42.868500638208,23.5245805144691,14.144982144101,49.1451554683342,41.5498837155133,9.33098552480523,32.9255199325515,32.2181717799306,27.095392440597,42.2176028513634,32.2096451669036,29.5176654912491,13.9502244134991,27.0381459810654,28.4385200639686,25.0186205714659,22.7212707902163,28.3874590210359
"Tmem170b",25.5710107010859,24.5883870582377,44.058519741921,33.0747604041146,20.8041337073155,37.8251476219482,77.2950502618269,25.9324672641852,47.4504949349434,37.1762117454593,23.3274638120131,34.6584420342648,13.5655460126023,21.0741941204644,35.8048024182449,21.4730967779357,38.2636404516191,29.6442268786857,25.5360267598951,23.4199576997388,19.2450927472815,28.9179810057299,17.3478916239664
