"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Zbtb2",5,8,7,3,10,4,11,4,4,0,6,3,26,7,12,29,18,15,9,15,7,7,6,8
"Gm21781",1,2,1,0,1,0,3,0,0,1,0,2,3,1,2,8,1,2,2,2,2,0,0,2
"Rmnd1",2,5,7,3,7,7,14,2,5,5,4,3,18,2,10,24,22,7,5,5,5,4,5,5
"Gm16153",1,0,0,1,1,0,1,0,0,1,1,0,3,0,1,3,5,1,2,2,2,0,1,2
"Armt1",0,0,5,1,1,5,3,0,4,3,3,8,22,4,12,15,4,5,3,4,4,5,6,3
"Ccdc170",0,0,0,0,1,0,1,0,0,1,1,1,1,2,2,3,1,0,1,0,0,0,0,0
"Esr1",2,9,9,7,14,10,19,8,11,16,9,11,32,15,13,34,25,19,14,15,12,6,10,16
"Syne1",4,4,6,3,13,2,10,3,1,4,1,2,18,11,2,10,13,14,6,2,12,4,5,4
"Gm10097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myct1",0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0
"Vip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Fbxo5",0,0,4,0,2,0,0,1,0,1,1,1,8,2,5,3,6,1,2,1,4,1,0,3
"Mtrf1l",0,2,0,1,2,3,3,1,1,0,0,2,4,4,2,4,1,0,1,1,2,1,3,6
"Rgs17",0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,0,0
"Gm10945",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Oprm1",0,1,4,0,0,2,1,1,3,0,2,2,5,1,4,6,1,2,0,0,1,3,1,1
"Ipcef1",0,0,2,1,1,1,2,2,1,1,1,2,3,0,2,1,0,4,0,0,1,2,0,0
