"","sgNfe2l1","sgNfe2l2","doubleKO"
"Fcgr2b",0,1,0
"Fcgr4",0,1,0
"Fcgr3",1,1,0
"Sdhc",0,0,0
"Tomm40l",0,0,0
"Fcer1g",0,1,0
"Ndufs2",0,0,0
"B4galt3",0,0,0
"Usp21",0,0,0
"Ufc1",0,0,0
"Gm20045",0,0,0
"Dedd",0,0,0
"Nit1",1,0,0
"Pfdn2",0,0,0
"Nectin4",0,0,0
"Arhgap30",0,0,0
"F11r",0,0,0
"Ly9",0,0,0
"Slamf7",0,1,0
"Gm37787",0,0,0
"Cd48",0,0,0
"Cd84",0,0,0
"Slamf6",0,0,0
"Ncstn",0,0,0
"Copa",0,0,0
"Pex19",0,0,0
"Dcaf8",0,0,0
"Pea15a",0,0,0
"Igsf8",0,0,0
"Pigm",0,0,0
"Slamf9",0,1,1
"Igsf9",0,0,0
"Tagln2",0,1,1
"Slamf8",0,0,0
"Aim2",0,0,0
"Ifi206",0,0,-1
"Ifi214",0,0,0
"Ifi213",0,0,0
"Ifi209",0,0,0
"Ifi208",0,0,0
"Ifi207",0,0,0
"Ifi204",0,0,0
"Ifi203-ps",0,0,0
"Mndal",0,0,0
"Gm18445",0,0,0
"Ifi205",0,1,0
"Spta1",0,0,0
"Fh1",0,0,0
"Cep170",0,0,0
"Sdccag8",0,0,0
"Akt3",0,0,0
"Zbtb18",0,1,0
"Adss",0,0,0
"Catspere2",0,0,0
"Desi2",0,0,0
"Cox20",0,0,0
"Hnrnpu",0,0,0
"Efcab2",0,0,0
"Smyd3",0,0,0
"Tfb2m",0,0,0
"Sccpdh",0,0,0
"Ahctf1",0,0,0
"Cdc42bpa",0,0,0
"Psen2",0,0,0
"Itpkb",0,0,0
"Parp1",0,0,0
"Lin9",0,0,0
"Acbd3",0,0,0
"Gm37768",0,0,0
"H3f3a",0,1,0
"Sde2",0,0,0
"Pycr2",0,0,0
"Ephx1",0,0,0
"Nvl",0,0,0
"Cnih4",0,0,0
"Wdr26",0,0,0
"Enah",0,0,0
"Srp9",0,0,0
"Degs1",0,0,0
"Fbxo28",0,0,0
"Trp53bp2",0,0,0
"Capn2",0,0,0
"Susd4",0,0,0
"Disp1",0,0,0
"Brox",0,0,0
"Aida",0,0,0
"Mia3",0,0,0
"Dusp10",0,0,0
"Marc2",0,0,0
"Rab3gap2",0,0,0
"Iars2",0,0,0
"Bpnt1",0,0,0
"Eprs",0,0,0
"Rrp15",0,0,0
"Gpatch2",0,0,0
"Ush2a",0,0,0
"Kctd3",0,0,0
"Cenpf",0,0,0
"Smyd2",0,0,0
"Rps6kc1",0,0,0
"Angel2",0,0,0
"Flvcr1",0,0,0
"Tatdn3",0,0,0
"Atf3",0,0,0
"D730003I15Rik",0,0,0
"Nenf",0,0,0
"Tmem206",0,0,0
"Ppp2r5a",0,0,0
"Ints7",0,0,0
"Lpgat1",0,0,0
"Slc30a1",0,0,0
"Traf5",0,-1,0
"Rcor3",0,0,0
"Hsd11b1",0,0,0
"A330023F24Rik",0,0,0
"Cr1l",0,0,0
"Fam171a1",0,0,0
"Nmt2",0,0,0
"Rpp38",0,0,0
"Dclre1c",0,0,0
"Hspa14",0,0,0
"Fam107b",0,0,0
"Frmd4a",0,0,0
"Prpf18",0,0,0
"Gm13196",0,0,0
"Bend7",0,0,0
"Sephs1",0,0,0
"Phyh",0,0,0
"Gm13192",0,0,0
"Mcm10",0,0,0
"Optn",0,0,-1
"Camk1d",0,0,0
"Cdc123",0,0,0
"Nudt5",0,0,0
"Sec61a2",0,0,0
"Upf2",0,0,0
"Usp6nl",0,0,0
"Gm13391",0,0,0
"Celf2",0,0,0
"Gm13219",0,0,0
"Taf3",0,0,0
"Atp5c1",1,1,0
"Kin",0,0,0
"Sfmbt2",0,0,0
"Pfkfb3",0,0,0
"Rbm17",0,0,0
"Il2ra",0,1,0
"Il15ra",0,0,0
"Fbxo18",0,0,0
"Ankrd16",0,0,0
"Mindy3",0,0,0
"Pter",0,0,0
"Rsu1",0,0,0
"Trdmt1",0,0,0
"Vim",0,0,0
"Hacd1",0,0,0
"Stam",0,0,0
"Mrc1",0,0,-1
"Cacnb2",0,0,0
"Gm13268",0,0,0
"Nsun6",0,0,0
"Arl5b",0,0,0
"Plxdc2",0,0,0
"Mllt10",0,0,0
"Dnajc1",0,0,0
"Commd3",0,0,0
"Bmi1",0,0,0
"Pip4k2a",0,0,0
"Armc3",0,0,0
"Otud1",0,-1,0
"Etl4",0,0,0
"Arhgap21",0,0,0
"Myo3a",0,0,0
"Gm13340",0,0,0
"Apbb1ip",0,0,0
"Pdss1",0,0,0
"Abi1",0,0,0
"Acbd5",0,0,0
"Mastl",0,0,0
"Yme1l1",0,0,0
"Spopl",0,0,0
"Il1f9",0,0,-1
"Il1f6",0,0,0
"Il1rn",0,0,0
"Psd4",0,0,0
"Cacna1b",0,0,0
"Ehmt1",0,0,0
"Arrdc1",0,0,0
"Mrpl41",0,0,0
"Pnpla7",0,0,0
"Nelfb",0,0,0
"Tubb4b",0,0,0
"Ssna1",0,0,0
"Anapc2",0,0,0
"Man1b1",0,0,0
"Dpp7",0,0,0
"Uap1l1",0,0,0
"Fbxw5",0,0,0
"Traf2",0,0,0
"Edf1",0,0,0
"Rabl6",0,0,0
"Tmem141",0,0,0
"Bmyc",0,0,0
"Camsap1",0,0,0
"Ubac1",0,0,0
"Tmem250-ps",0,0,0
"Qsox2",0,0,0
"Dnlz",0,0,0
"Sdccag3",0,0,0
"Pmpca",0,0,0
"Sec16a",0,0,0
"Notch1",0,0,0
"Agpat2",0,0,0
"Surf6",0,0,0
"Rpl7a",0,0,0
"Surf1",0,0,0
"Surf4",0,0,0
"Rexo4",0,0,0
"Slc2a6",0,0,0
"Vav2",0,0,0
"Brd3",0,0,0
"Wdr5",0,0,0
"Olfm1",0,0,0
"Mrps2",0,0,0
"Ralgds",0,0,0
"Gtf3c5",0,0,0
"Tsc1",0,0,0
"Spaca9",0,0,0
"Ak8",0,0,0
"Ddx31",0,0,0
