"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Sntb2",32.0264221193581,16.1061610208956,26.4775485641751,16.9173558822698,7.93026307988864,19.4716365264999,22.0787990031094,21.920454813963,17.0392079096458,21.9923719440091,28.2287662962741,14.7882124121973,23.417543992144,27.6199145397373,25.5000643133107,16.9364351039784,12.0663810395235,18.0804940242517,13.3876319778501,25.0922387061164,15.7487047260822
"Vps4a",20.0165138245988,26.355536216011,18.6900342805942,24.4361807188342,15.8605261597773,16.2263637720832,22.0787990031094,10.9602274069815,9.73669023408329,15.7893952418527,31.5497976252475,12.8164507572377,19.2544250602073,9.60692679643036,17.0000428755404,20.3237221247741,18.0995715592852,19.7241752991837,24.8627451017216,23.00121881394,39.3717618152055
"Nip7",26.0214679719784,26.355536216011,23.3625428507427,28.1955931371164,43.6164469393875,16.2263637720832,36.7979983385156,46.0329551093224,26.775898143729,28.1953486461655,26.5682506317874,26.6187823419552,32.2641717225095,27.6199145397373,31.8750803916383,27.0982961663654,27.1493573389278,46.0230756980952,40.1628959335503,31.3652983826454,29.9225389795562
"Terf2",28.0231193544383,27.8197326724561,17.132531423878,18.7970620914109,22.4690787263511,6.49054550883329,17.1723992246406,15.3443183697741,26.775898143729,29.8870695649354,9.96309398692027,24.6470206869955,19.2544250602073,16.8121218937531,15.9375401958192,38.9538007391503,21.1161668191661,23.0115378490476,30.6003016636574,16.7281591374109,17.3235751986904
"Cyb5b",58.0478900913365,38.0691078675715,46.7250857014854,48.8723614376684,51.5467100192761,45.433818561833,39.25119822775,52.6090915535113,41.380933494854,53.0072554547911,59.7785639215216,36.4775906167534,46.835087984288,40.829438884829,54.1876366657851,60.9711663743222,48.2655241580939,32.8736254986394,43.9879336415075,33.4563182748218,37.7968913425973
"Nfat5",166.13706474417,134.706073992945,110.582702826849,105.263547711901,181.074340324124,136.301455685499,107.940795126313,144.675001772156,99.8010748993537,205.826045117008,136.16228448791,119.291580125058,171.728655942389,194.540267627715,142.375359082651,110.08682817586,149.321465364103,128.207139444694,164.476621442158,142.189352667993,99.2168397743178
"Nqo1",8.00660552983951,5.85678582578023,9.34501714029709,7.51882483656436,21.1473682130364,16.2263637720832,17.1723992246406,17.5363638511704,7.30251767556247,3.38344183753986,1.66051566448671,5.91528496487893,5.20389866492089,3.60259754866138,2.12500535944255,1.69364351039784,0,3.28736254986394,5.73755656193576,10.4550994608818,4.72461141782466
"Nob1",16.013211059679,13.1777681080055,12.4600228537295,13.1579434639876,17.182236673092,9.73581826324994,9.81279955693751,6.57613644418891,12.1708627926041,14.0976743230827,11.623609651407,20.7034973770763,14.5709162617785,7.20519509732277,18.0625455552617,15.2427915935806,12.0663810395235,13.1494501994558,5.73755656193576,20.9101989217636,7.8743523630411
"Wwp2",36.0297248842778,42.4616972369067,49.8400914149178,46.9926552285273,48.9032889926466,22.7169092809165,39.25119822775,46.0329551093224,31.6442432607707,30.4509765378587,41.5128916121678,56.1952071663499,37.4680703874304,32.4233779379525,43.5626098685724,25.4046526559676,39.2157383784513,32.8736254986394,36.3378582255932,31.3652983826454,36.222020869989
"Rps26-ps1",30.0247707368982,42.4616972369067,59.1851085552149,45.1129490193862,47.5815784793318,74.6412733515829,49.0639977846875,50.417046072115,36.5125883778123,42.8569299421716,43.1734072766545,39.4352330991929,41.6311893193671,74.4536826723353,46.7501179077362,57.5838793535266,70.8899886072004,39.4483505983673,40.1628959335503,73.1856962261727,29.9225389795562
"Psmd7",72.0594497685556,86.3875909302584,101.237685686552,90.2258980387724,63.4421046391091,68.1507278427496,85.8619961232032,100.83409214423,63.2884865215414,66.5410228049506,76.3837205663887,80.8422278533454,89.5070570366394,85.2614753183194,106.250267972128,44.0347312703438,84.4646672766643,77.2530199218027,114.751131238715,81.5497757948782,99.2168397743178
"Zfhx3",58.0478900913365,32.2123220417913,48.2825885582016,50.7520676468095,51.5467100192761,51.9243640706663,41.7043981169844,50.417046072115,29.2100707022499,52.4433484818678,33.2103132897342,48.3081605465113,54.6409359816694,45.6329022830442,43.5626098685724,60.9711663743222,37.7074407485108,42.7357131482313,40.1628959335503,48.0934575200564,39.3717618152055
"Dhx38",16.013211059679,5.85678582578023,3.11500571343236,13.1579434639876,2.64342102662955,9.73581826324994,9.81279955693751,13.1522728883778,12.1708627926041,4.51125578338648,9.96309398692027,10.844689102278,5.20389866492089,7.20519509732277,6.37501607832766,3.38728702079568,4.5248928898213,9.86208764959183,3.82503770795717,10.4550994608818,4.72461141782466
"Hp",52.0429359439568,46.8542866062418,45.1675828447693,35.7144179736807,14.5388156464625,35.6980002985831,53.9703975631563,26.3045457767557,36.5125883778123,77.8191622634168,76.3837205663887,69.9975387510674,86.3847178376868,81.658877769658,83.9377116979809,103.312254134268,82.9563696467239,90.4024701212585,87.975867283015,96.1869150401127,80.3183941030192
"Ist1",78.0644039159353,112.743127146269,70.0876285522282,58.2708924833738,83.2677623388307,97.3581826324994,83.4087962339688,61.3772734790965,68.156831638583,87.9694877760363,74.723204901902,87.7433936457042,84.8235482382105,97.2701338138574,79.6877009790958,79.6012449886985,76.9231791269621,124.91977689483,101.363499260865,81.5497757948782,100.791710246926
